Company,Name,Ref,Review.Date,Cocoa.Percent,Company.Location,Rating,Broad.Bean.Origin,Bean.Type,Bar.Price
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,64,Switzerland,2.75,Madagascar,,0.91
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,65,Switzerland,2.75,Brazil,,0.91
Alain Ducasse,Vietnam,1215,2014,52,France,2.75,Vietnam,Trinitario,0.81
Alain Ducasse,Madagascar,1215,2014,79,France,3,Madagascar,,0.71
Alain Ducasse,"Piura, Perou",1173,2013,72,France,2.5,Peru,,0.91
Alain Ducasse,Chuao,1061,2013,69,France,2.5,Venezuela,,0.91
Alain Ducasse,Trinite,1215,2014,73,France,2.75,Trinidad,Trinitario,0.91
Altus aka Cao Artisan,Acopagro,1728,2016,63,U.S.A.,3,Peru,,0.81
Altus aka Cao Artisan,Momotombo,1728,2016,67,U.S.A.,2.75,Nicaragua,,0.71
Altus aka Cao Artisan,Bolivia,1133,2013,74,U.S.A.,3,Bolivia,,0.71
Altus aka Cao Artisan,Peru,1133,2013,83,U.S.A.,3.25,Peru,,0.91
Altus aka Cao Artisan,Sur del Lago,1125,2013,70,U.S.A.,2.5,Venezuela,,0.71
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,51,U.S.A.,2.75,Ecuador,,0.81
Altus aka Cao Artisan,Bolivia,1129,2013,81,U.S.A.,3.25,Bolivia,,0.91
Altus aka Cao Artisan,Conacado,1125,2013,78,U.S.A.,3,Dominican Republic,Trinitario,0.91
Altus aka Cao Artisan,Villa Andina,1732,2016,83,U.S.A.,2.5,Peru,,1.1
Altus aka Cao Artisan,CIAAB Coop,1732,2016,78,U.S.A.,2.5,Bolivia,,1.1
Amano,Cuyagua,147,2007,72,U.S.A.,3,Venezuela,,0.91
Amano,Madagascar,129,2007,55,U.S.A.,3.5,Madagascar,Trinitario,0.71
Amano,Ocumare,175,2007,82,U.S.A.,3.75,Venezuela,Criollo,0.71
Amano,Morobe,725,2011,52,U.S.A.,4,Papua New Guinea,,0.81
Amano,Guayas,470,2010,71,U.S.A.,4,Ecuador,,0.81
Amano,"Bali, Jembrana",304,2008,52,U.S.A.,2.75,Indonesia,,0.91
Amano,Chuao,544,2010,68,U.S.A.,3,Venezuela,Trinitario,0.91
Amano,Montanya,363,2009,110,U.S.A.,3,Venezuela,,0.81
Amano,Dos Rios,470,2010,30,U.S.A.,3.75,Dominican Republic,,0.91
Amatller (Simon Coll),Ghana,322,2009,23,Spain,3,Ghana,,0.91
Amatller (Simon Coll),Ghana,464,2009,67,Spain,3,Ghana,,0.71
Amatller (Simon Coll),Ecuador,464,2009,54,Spain,2.75,Ecuador,,0.71
Amatller (Simon Coll),Ecuador,327,2009,75,Spain,2.75,Ecuador,,0.81
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,55,Peru,3.5,Peru,,0.81
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,66,Peru,3.25,Peru,,1.3
Ambrosia,Belize,1494,2015,80,Canada,3,Belize,Trinitario,0.81
Ambrosia,Peru,1498,2015,84,Canada,3.5,Peru,,0.71
Ambrosia,Papua New Guinea,1498,2015,53,Canada,3.25,Papua New Guinea,,0.81
Ambrosia,Madagascar,1494,2015,69,Canada,3.25,Madagascar,,0.91
Ambrosia,Venezuela,1498,2015,80,Canada,3.25,Venezuela,,1.1
Ambrosia,Dominican Republic,1498,2015,71,Canada,3.25,Dominican Republic,,0.71
Amedei,Ecuador,123,2007,64,Italy,3,Ecuador,,0.71
Amedei,"Piura, Blanco de Criollo",979,2012,67,Italy,3.75,Peru,,0.71
Amedei,Madagascar,123,2007,54,Italy,4,Madagascar,Trinitario (85% Criollo),0.71
Amedei,Chuao,111,2007,70,Italy,5,Venezuela,Trinitario,0.91
Amedei,Nine,111,2007,71,Italy,4,,Blend,0.71
Amedei,Grenada,123,2007,57,Italy,3.5,Grenada,Trinitario,0.71
Amedei,Jamaica,123,2007,83,Italy,3,Jamaica,,0.71
Amedei,Porcelana,111,2007,69,Italy,4,Venezuela,,0.71
Amedei,Toscano Black,40,2006,76,Italy,5,,,0.91
Amedei,Venezuela,123,2007,81,Italy,3.75,Venezuela,Trinitario (85% Criollo),0.71
Amedei,Toscano Black,170,2007,71,Italy,3.5,,Blend,0.71
Amedei,Toscano Black,75,2006,82,Italy,4,,Blend,0.81
Amedei,Trinidad,129,2007,73,Italy,3.5,Trinidad,Trinitario,0.71
AMMA,Catongo,1065,2013,50,Brazil,3.25,Brazil,,0.71
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,67,Brazil,2.75,Brazil,,0.81
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,62,Brazil,3.75,Brazil,,0.81
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,66,Brazil,4,Brazil,Forastero (Parazinho),0.81
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85,Brazil,3.75,Brazil,Forastero (Parazinho),0.91
Anahata,Elvesia,1259,2014,74,U.S.A.,3,Dominican Republic,,0.91
Animas,Alto Beni,1852,2016,69,U.S.A.,3.5,Bolivia,,0.91
Ara,Chiapas,1379,2014,73,France,2.5,Mexico,,0.71
Ara,Trincheras,1379,2014,75,France,3,Venezuela,,0.91
Ara,Madagascar,1375,2014,70,France,3,Madagascar,Trinitario,0.71
Ara,Equateur,1379,2014,55,France,2.75,Ecuador,,1.1
Arete,Fazenda Camboa,1534,2015,77,U.S.A.,3.5,Brazil,,0.71
Arete,Camino Verde,1602,2015,52,U.S.A.,3.5,Ecuador,,0.71
Arete,Nacional,1534,2015,80,U.S.A.,3.5,Peru,,0.71
Arete,Guatemala,1602,2015,74,U.S.A.,3.25,Guatemala,,0.81
Arete,San Juan,1724,2016,50,U.S.A.,3.5,Trinidad,,0.71
Arete,Kokoa Kamili,1724,2016,77,U.S.A.,3.75,Tanzania,,0.91
Arete,Oko Caribe,1598,2015,52,U.S.A.,3.5,Domincan Republic,,0.71
Arete,Maya Mountain,1598,2015,57,U.S.A.,3.75,Belize,Trinitario,0.71
Arete,Fazenda Camboa,1602,2015,83,U.S.A.,2.75,Brazil,,0.91
Arete,Chuno,1598,2015,58,U.S.A.,4,Nicaragua,"Criollo, Trinitario",0.81
Arete,"Puerto Quito, heirloom",1534,2015,83,U.S.A.,3.75,Ecuador,Forastero (Nacional),1.1
Artisan du Chocolat,Madagascar,363,2009,64,U.K.,3,Madagascar,,0.91
Artisan du Chocolat,Congo,300,2008,85,U.K.,3.75,Congo,Forastero,0.91
Artisan du Chocolat,Jamaica,531,2010,64,U.K.,3.75,Jamaica,Trinitario,0.71
Artisan du Chocolat,Venezuela,486,2010,77,U.K.,1.75,Venezuela,,0.81
Artisan du Chocolat,Brazil Rio Doce,363,2009,50,U.K.,1.75,Brazil,,0.81
Artisan du Chocolat,Java,355,2009,74,U.K.,2.75,Indonesia,,0.81
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,53,U.K.,3.25,Vietnam,Trinitario,0.91
Artisan du Chocolat,Bali,600,2010,64,U.K.,3.5,Indonesia,,0.91
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,50,U.K.,3.75,Colombia,,0.91
Artisan du Chocolat,Dominican Republic,363,2009,52,U.K.,3.25,Dominican Republic,Trinitario,0.71
Artisan du Chocolat,Panama,745,2011,61,U.K.,2.75,Panama,,0.91
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,83,U.K.,3.25,Trinidad,Trinitario,0.81
Artisan du Chocolat,Peru,363,2009,64,U.K.,3,Peru,Criollo,0.81
Artisan du Chocolat,Haiti,729,2011,51,U.K.,4,Haiti,,1.2
Artisan du Chocolat,Costa Rica,600,2010,69,U.K.,3.25,Costa Rica,,0.81
Artisan du Chocolat,"Ocumare, Venezuela",355,2009,79,U.K.,2.5,Venezuela,"Criollo, Trinitario",0.91
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,70,U.K.,2.75,Colombia,Trinitario,0.71
Askinosie,San Jose del Tambo,175,2007,72,U.S.A.,3,Ecuador,,0.91
Askinosie,"Tenende, Uwate",647,2011,81,U.S.A.,3.75,Tanzania,,0.81
Askinosie,Davao,331,2009,82,U.S.A.,3.75,Philippines,,0.71
Askinosie,Xoconusco,141,2007,57,U.S.A.,2.5,Mexico,,0.91
Askinosie,Cortes,661,2011,60,U.S.A.,3.75,Honduras,,0.71
Askinosie,Mababa,1780,2016,75,U.S.A.,3.75,Tanzania,Trinitario,0.81
Bahen & Co.,Houseblend,999,2012,78,Australia,2.5,,,0.71
Bahen & Co.,Papua New Guinea,1474,2015,67,Australia,3.5,Papua New Guinea,,0.71
Bahen & Co.,Sambirano,995,2012,82,Australia,3,Madagascar,Trinitario,0.71
Bahen & Co.,Houseblend,1474,2015,52,Australia,3.25,,,0.71
Bahen & Co.,Bahia,999,2012,55,Australia,2.5,Brazil,,0.91
Bakau,"Bambamarca, 2015",1454,2015,85,Peru,2.75,Peru,,0.81
Bakau,"Huallabamba, 2015",1454,2015,83,Peru,3.5,Peru,,0.71
Bar Au Chocolat,Chiapas,983,2012,53,U.S.A.,3.5,Mexico,,0.71
Bar Au Chocolat,Sambirano,983,2012,59,U.S.A.,3.75,Madagascar,,0.81
Bar Au Chocolat,Duarte Province,983,2012,57,U.S.A.,3.25,Dominican Republic,,0.71
Bar Au Chocolat,Maranon Canyon,1295,2014,83,U.S.A.,4,Peru,,0.91
Bar Au Chocolat,Bahia,1554,2015,67,U.S.A.,3.5,Brazil,,0.71
Baravelli's,single estate,955,2012,65,Wales,2.75,Costa Rica,,0.71
Batch,"Dominican Republic, Batch 3",1840,2016,70,U.S.A.,3.5,Domincan Republic,,0.91
Beehive,"Dominican Republic, Batch 31616",1784,2016,65,U.S.A.,2.75,Domincan Republic,,0.81
Beehive,Ecuador,1788,2016,53,U.S.A.,2.75,Ecuador,,0.91
Beehive,"Ecuador, Batch 31516",1784,2016,58,U.S.A.,2.75,Ecuador,,0.81
Beehive,"Brazil, Batch 20316",1784,2016,77,U.S.A.,2.75,Brazil,,1.2
Belcolade,Costa Rica,586,2010,52,Belgium,2.75,Costa Rica,,0.81
Belcolade,Ecuador,586,2010,52,Belgium,3.5,Ecuador,,0.91
Belcolade,Papua New Guinea,586,2010,71,Belgium,2.75,Papua New Guinea,,
Belcolade,Peru,586,2010,57,Belgium,2.75,Peru,,1.1
Bellflower,"Alto Beni, Palos Blanco",1804,2016,54,U.S.A.,3.25,Bolivia,,0.71
Bellflower,"Oko Caribe, Duarte P.",1864,2016,60,U.S.A.,3.5,Domincan Republic,,0.71
Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,64,U.S.A.,3.5,Tanzania,,0.91
Belyzium,Belize south,1768,2016,68,Germany,3.5,Belize,,0.91
Belyzium,Belize south,1768,2016,84,Germany,3,Belize,,0.91
Belyzium,"Belize south, low fermentation",1768,2016,83,Germany,2.75,Belize,Trinitario,
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,64,Belgium,3.75,Madagascar,Trinitario,0.91
Benoit Nihant,Rio Peripa H.,1141,2013,52,Belgium,4,Ecuador,,0.71
Benoit Nihant,Cuyagua Village,1141,2013,58,Belgium,3.5,Venezuela,,0.71
Benoit Nihant,Baracoa,1141,2013,57,Belgium,3.5,Cuba,Trinitario,0.91
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,52,Belgium,4,Indonesia,,0.71
Benoit Nihant,Chuao,1141,2013,53,Belgium,3.5,Venezuela,Criollo,0.91
Bernachon,Nature,797,2012,63,France,2.75,,,1.2
Beschle (Felchlin),Maracaibo,636,2011,80,Switzerland,3,Venezuela,Criollo,0.81
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72,Switzerland,3.5,Venezuela,,0.71
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,83,Switzerland,3.25,Venezuela,,0.91
Beschle (Felchlin),Madagascar,636,2011,67,Switzerland,3,Madagascar,,0.71
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,75,Switzerland,3.25,Venezuela,,0.91
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,80,Switzerland,3.5,Venezuela,,0.71
Beschle (Felchlin),"Java, Grand Cru",508,2010,67,Switzerland,3.5,Indonesia,,0.81
Beschle (Felchlin),Ecuador,636,2011,77,Switzerland,4,Ecuador,,1.3
Bisou,"San Andres, American style",1486,2015,82,U.S.A.,2.5,Costa Rica,,0.91
Bisou,"Nicaragua, American style",1482,2015,83,U.S.A.,2.5,Nicaragua,,0.71
Bisou,"San Andres, silk",1486,2015,58,U.S.A.,2.5,Costa Rica,,0.91
Bisou,Belize,1486,2015,66,U.S.A.,3.25,Belize,Trinitario,0.81
Bittersweet Origins,Bocas del Toro,233,2008,83,U.S.A.,3.5,Panama,,0.91
Bittersweet Origins,"Ocumare, prototype",565,2010,83,U.S.A.,3,Venezuela,,0.81
Bittersweet Origins,Ghana,963,2012,78,U.S.A.,3.5,Ghana,,0.81
Bittersweet Origins,2009 Hapa Nibby,502,2010,68,U.S.A.,3.75,"Dominican Rep., Bali",,0.91
Bittersweet Origins,Puerto Plata,233,2008,74,U.S.A.,3.75,Dominican Republic,,0.81
Bittersweet Origins,Sambirano,431,2009,57,U.S.A.,3.5,Madagascar,,0.91
Bittersweet Origins,Puerto Plata,414,2009,75,U.S.A.,3.5,Dominican Republic,,0.71
Bittersweet Origins,Sambirano,233,2008,64,U.S.A.,3,Madagascar,Trinitario,0.71
Bittersweet Origins,Sambirano,423,2009,77,U.S.A.,3.25,Madagascar,Trinitario,0.91
Bittersweet Origins,Ankasa,256,2008,74,U.S.A.,3,Ghana,Forastero,
Bittersweet Origins,"Bali, Singaraja",478,2010,82,U.S.A.,3.25,Indonesia,,0.81
Bittersweet Origins,Puerto Plata,414,2009,81,U.S.A.,3,Dominican Republic,,0.71
Bittersweet Origins,"Sambirano, 2009",565,2010,56,U.S.A.,3,Madagascar,Trinitario,0.91
Bittersweet Origins,"Bali, Singaraja",558,2010,55,U.S.A.,2.75,Indonesia,,0.71
Black Mountain,La Red,256,2008,76,U.S.A.,2.75,Dominican Republic,,0.71
Black Mountain,Carenero Superior,256,2008,84,U.S.A.,2.75,Venezuela,,0.91
Black Mountain,Matiguas,256,2008,58,U.S.A.,3,Nicaragua,,0.71
Black River (A. Morin),Blue Mountain Region,1331,2014,82,U.K.,2.75,Jamaica,,0.71
Blanxart,Organic Dark,322,2009,69,Spain,2.75,,,0.81
Blanxart,"Congo, Grand Cru",1046,2013,50,Spain,3.5,Congo,,0.91
Blue Bandana,Lachua,1752,2016,75,U.S.A.,2.75,Guatemala,,0.91
Blue Bandana,Guatemala,911,2012,83,U.S.A.,3.5,Guatemala,,0.91
Blue Bandana,Zorzal Reserva,1756,2016,67,U.S.A.,3,Dominican Republic,,0.91
Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,66,U.S.A.,3.5,Madagascar,,0.71
Blue Bandana,Kokoa Kamili,1752,2016,58,U.S.A.,3.5,Tanzania,,0.91
Blue Bandana,Madagascar,911,2012,84,U.S.A.,3.75,Madagascar,Trinitario,0.81
Bonnat,Gabon,1042,2013,83,France,3.25,Gabon,,0.81
Bonnat,Equateur,123,2007,59,France,2.5,Ecuador,,0.81
Bonnat,One Hundred,81,2006,83,France,1.5,Dominican Republic,,0.71
Bonnat,"Maracaibo, El Rosario",48,2006,61,France,4,Venezuela,,0.71
Bonnat,"Porcelana, Venezuela",199,2008,61,France,4,Venezuela,,0.71
Bonnat,Haiti,629,2011,79,France,4,Haiti,,0.81
Bonnat,Cuba,629,2011,81,France,3.5,Cuba,Trinitario,0.81
Bonnat,Surfin,1418,2014,73,France,3.75,"Venez,Africa,Brasil,Peru,Mex",,0.81
Bonnat,Ceylan,81,2006,67,France,3,Sri Lanka,,0.71
Bonnat,Ivory Coast,331,2009,52,France,3,Ivory Coast,,0.91
Bonnat,Maragnam,1038,2013,72,France,3.5,Brazil,,0.71
Bonnat,"Porcelana, Apotequil",336,2009,53,France,2.75,Peru,,0.81
Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,71,France,3.25,Dominican Republic,,0.81
Bonnat,Piura Blanco,629,2011,52,France,3.5,Peru,,0.91
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,60,France,3,Mexico,,0.71
Bonnat,Chuao,81,2006,70,France,4,Venezuela,,0.91
Bonnat,Libanio,629,2011,53,France,3.75,Brazil,,0.81
Bonnat,Juliana,672,2011,59,France,3.5,Brazil,,0.71
Bonnat,Jamaique,761,2011,80,France,3.25,Jamaica,Trinitario,0.91
Bonnat,Madagascar,75,2006,79,France,4,Madagascar,Trinitario,0.71
Bonnat,"Cusco, Cacao Cusco",629,2011,77,France,3.5,Peru,,
Bonnat,Kaori,1339,2014,74,France,4,Brazil,,0.81
Bonnat,Trinite,24,2006,68,France,3.75,Carribean,Trinitario,0.71
Bonnat,"Xoconusco, cacao Real",395,2009,79,France,3,Mexico,Criollo,1.2
Bonnat,"Madagascar, 100% criollo",629,2011,79,France,4,Madagascar,Criollo,1.1
Bonnat,"Ocumare, Puerto Cabello",32,2006,84,France,4,Venezuela,,0.71
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,84,Ecuador,3.25,Ecuador,,0.81
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,63,Ecuador,1.5,Ecuador,,0.71
Bowler Man,Maya Mountain,1267,2014,74,U.S.A.,2.75,Belize,,0.91
Bowler Man,Conacado,1271,2014,66,U.S.A.,2.75,Dominican Republic,,0.91
Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125,2013,57,U.S.A.,3.25,Ecuador,,0.91
Brasstown aka It's Chocolate,Chuao,1355,2014,65,U.S.A.,4,Venezuela,,0.91
Brasstown aka It's Chocolate,Ghana,1129,2013,53,U.S.A.,3.5,Ghana,,0.81
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,51,U.S.A.,3.5,Venezuela,Trinitario,0.91
Brasstown aka It's Chocolate,Maya Mountain,1255,2014,66,U.S.A.,3.75,Belize,,0.71
Brasstown aka It's Chocolate,Cooproagro,1125,2013,65,U.S.A.,3,Dominican Republic,,0.81
Brasstown aka It's Chocolate,Conacado,1462,2015,60,U.S.A.,3.75,Dominican Republic,,0.81
Brazen,Elvesia P.,1514,2015,58,U.S.A.,3.25,Dominican Republic,,0.81
Brazen,Elvesia P.,1514,2015,74,U.S.A.,3,Dominican Republic,,0.81
Brazen,"Alta Verapaz, 2014",1514,2015,77,U.S.A.,3.5,Guatemala,,
Brazen,Maya Mountain,1518,2015,82,U.S.A.,3.25,Belize,Trinitario,1.2
Brazen,Ambolikapiky P.,1518,2015,65,U.S.A.,2.75,Madagascar,,0.81
Brazen,Ambolikapkly P.,1518,2015,60,U.S.A.,3.25,Madagascar,,0.91
Breeze Mill,Jamaica,1149,2013,80,U.S.A.,3,Jamaica,,0.71
Bright,Marabel Farms,1231,2014,69,Australia,3.5,Dominican Republic,,0.91
Bright,"Camino Verde, Balao, Guayas",1231,2014,76,Australia,3.5,Ecuador,,0.91
Bright,Gran Couva,1235,2014,53,Australia,2.75,Trinidad,,0.91
Bright,Somia Plantation,1231,2014,69,Australia,3,Madagascar,Trinitario,0.81
Britarev,Ecuador,1638,2015,66,Russia,3.25,Ecuador,,0.81
Bronx Grrl Chocolate,Dominican Republic,1181,2013,73,U.S.A.,2.75,Dominican Republic,,0.81
Burnt Fork Bend,Mindo,1299,2014,50,U.S.A.,3.5,Ecuador,,0.91
Burnt Fork Bend,Blend,1303,2014,60,U.S.A.,3.25,,,0.91
Burnt Fork Bend,"Ecuador, Bob Bar",1323,2014,59,U.S.A.,2.5,Ecuador,,0.81
Burnt Fork Bend,Belize,1303,2014,58,U.S.A.,3.25,Belize,Trinitario,0.81
Burnt Fork Bend,Trinidad,1299,2014,63,U.S.A.,3.25,Trinidad,Trinitario,0.91
Cacao Arabuco,Puerto Rico,1606,2015,81,Puerto Rico,2.5,Puerto Rico,,0.71
Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,2010,57,U.S.A.,2.5,Dominican Republic,,0.81
Cacao Atlanta,Tumbes,1215,2014,60,U.S.A.,2.5,Peru,,0.81
Cacao Atlanta,Patanemo,600,2010,72,U.S.A.,2.25,Venezuela,,0.71
Cacao Atlanta,Dominican Republic w/ nibs,502,2010,78,U.S.A.,2.75,Dominican Republic,,0.71
Cacao Barry,Venezuela,141,2007,60,France,2,Venezuela,,0.91
Cacao Barry,Tanzania,300,2008,74,France,2,Tanzania,,0.81
Cacao Barry,Mexico,147,2007,63,France,3,Mexico,,
Cacao Barry,Santo Domingo,586,2010,77,France,3,Dominican Republic,,0.91
Cacao Barry,Grand 'Anse,1716,2016,68,France,3.5,Haiti,"Trinitario, Criollo",0.91
Cacao de Origen,"Chuao, Aragua region",1395,2014,51,Venezuela,3.75,Venezuela,,0.71
Cacao de Origen,Agua Fria; Sucre region,1391,2014,73,Venezuela,2.5,Venezuela,,0.91
Cacao de Origen,Chuao,1688,2015,66,Venezuela,3.5,Venezuela,Trinitario,0.71
Cacao de Origen,Rio Caribe,1692,2015,63,Venezuela,3.25,Venezuela,,0.71
Cacao de Origen,"Chuao, Aragua region",1391,2014,51,Venezuela,3.5,Venezuela,,0.81
Cacao de Origen,Macuare; Miranda; Chloe formula,1391,2014,72,Venezuela,3.25,Venezuela,,1.1
Cacao de Origin,Hacienda la Trinidad,1668,2015,60,Venezuela,3.25,Venezuela,,0.81
Cacao Hunters,Arhuacos,1662,2015,69,Colombia,3.75,Colombia,,0.91
Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",1434,2014,71,Colombia,2.75,Colombia,,0.91
Cacao Hunters,Tumaco,1430,2014,55,Colombia,3.5,Colombia,,0.81
Cacao Hunters,Sierra Nevada,1430,2014,64,Colombia,3.5,Colombia,,0.91
Cacao Hunters,Perla Negra,1816,2016,51,Colombia,3.75,Colombia,,0.81
Cacao Hunters,Arauca,1434,2014,85,Colombia,3.25,Colombia,,1.1
Cacao Hunters,Macondo,1816,2016,65,Colombia,3.75,Colombia,,0.71
Cacao Market,"Jutiapa, lot 050916D",1860,2016,80,U.S.A.,3.5,Honduras,Trinitario,0.91
Cacao Prieto,"Dominican Republic, rustic",647,2011,56,U.S.A.,3.25,Dominican Republic,,0.71
Cacao Prieto,Dominican Republic,641,2011,75,U.S.A.,3.75,Dominican Republic,,0.91
Cacao Prieto,"Criollo, Dominican Republic",991,2012,71,U.S.A.,3.75,Dominican Republic,,0.71
Cacao Prieto,"Dominican Republicm, rustic",641,2011,52,U.S.A.,3,Dominican Republic,,0.71
Cacao Sampaka,"Xoconusco, Chiapas",346,2009,56,Spain,4,Mexico,,0.91
Cacao Sampaka,Ecuador,523,2010,70,Spain,3.75,Ecuador,,0.81
Cacao Sampaka,Venezuela,537,2010,62,Spain,3.5,Venezuela,,0.71
Cacao Sampaka,Grenada,537,2010,81,Spain,3.25,Grenada,,0.71
Cacao Sampaka,Papua,523,2010,55,Spain,4,Papua New Guinea,,0.91
Cacao Sampaka,"Porcelana, Tabasco, La Joya",336,2009,65,Spain,4,Mexico,Criollo,0.91
Cacao Sampaka,Venezuela,537,2010,52,Spain,3.5,Venezuela,,0.71
Cacao Sampaka,Madagascar,508,2010,62,Spain,3.5,Madagascar,,0.91
Cacao Store,Madagascar,1684,2015,59,Japan,3,Madagascar,Trinitario,0.71
Cacao Store,Peru,1684,2015,68,Japan,3.25,Peru,,0.91
Cacao Store,Vietnam,1684,2015,54,Japan,3.5,Vietnam,Trinitario,1.2
Cacaosuyo (Theobroma Inversiones),Piura,1173,2013,83,Peru,3.25,Peru,,0.81
Cacaoyere (Ecuatoriana),Pichincha,259,2008,55,Ecuador,1.5,Ecuador,,0.71
Cacaoyere (Ecuatoriana),Amazonia,237,2008,52,Ecuador,3.5,Ecuador,,0.71
Cacaoyere (Ecuatoriana),Esmeraldas,237,2008,54,Ecuador,3.5,Ecuador,,0.71
Cacaoyere (Ecuatoriana),Bolivar,245,2008,50,Ecuador,2.5,Ecuador,Forastero (Arriba),1.2
Callebaut,Grenade,296,2008,80,Belgium,2.75,Grenada,,0.91
Callebaut,Baking,141,2007,83,Belgium,1,Ecuador,,0.81
C-Amaro,Venezuela,809,2012,74,Italy,3,Venezuela,,0.91
C-Amaro,"Lago di Como, Blu",1442,2014,84,Italy,3.5,,,0.91
C-Amaro,Trinidad,765,2011,74,Italy,2.5,Trinidad,,0.71
C-Amaro,Cuba,1442,2014,53,Italy,2.5,Cuba,,0.71
C-Amaro,Ecuador,1185,2013,67,Italy,3.5,Ecuador,,0.91
C-Amaro,Sao Tome,749,2011,79,Italy,2.25,Sao Tome,,0.91
C-Amaro,Dominican Republic,1442,2014,67,Italy,3,Dominican Republic,,0.91
Cao,Bolivia,1808,2016,83,U.S.A.,3,Bolivia,,0.71
Cao,Tanzania,1804,2016,75,U.S.A.,2.75,Tanzania,,0.71
