age,fnlwgt,edu.num,capital.gain,capital.loss,hours_week,native_country
65,125417,4,0,0,40,Denmark
45,635913,13,0,0,60,Denmark
61,313321,12,0,0,40,Denmark
87,182609,13,0,0,50,Denmark
45,109434,13,0,0,55,Denmark
42,255004,6,0,0,40,Denmark
89,197860,10,0,0,40,Denmark
47,187656,2,0,0,40,Denmark
76,51744,9,0,2206,40,Denmark
39,176681,9,0,0,20,Denmark
98,140359,1,0,0,35,Denmark
63,243313,9,0,0,40,Denmark
94,24215,6,0,0,10,Denmark
64,167687,9,1409,0,50,Denmark
47,314209,11,0,0,20,Denmark
72,176796,9,0,0,40,Denmark
42,538583,7,3674,0,40,Denmark
58,130408,9,0,0,38,Denmark
41,159732,10,0,0,42,Denmark
95,110978,10,0,0,40,Denmark
73,76714,15,0,0,55,Denmark
87,268700,9,0,0,40,Denmark
76,170525,10,0,0,38,Denmark
79,180138,13,0,0,50,Denmark
71,115076,14,0,0,70,Denmark
45,115458,9,0,0,40,Denmark
59,347890,13,0,0,40,Denmark
97,196001,9,0,0,20,Denmark
88,273905,12,0,0,50,Denmark
52,119156,10,0,0,20,Denmark
42,179488,10,0,1741,40,Denmark
36,203580,9,0,0,35,Denmark
91,236596,9,0,0,45,Denmark
60,183916,9,0,0,34,Denmark
92,207578,12,0,1977,60,Denmark
86,153141,9,0,0,40,Denmark
43,112763,15,0,0,40,Denmark
89,390781,13,0,0,40,Denmark
53,171328,6,0,0,30,Denmark
35,27382,10,0,0,40,Denmark
55,259014,10,0,0,20,Denmark
61,303044,9,0,0,40,Denmark
64,117789,9,0,0,40,Denmark
75,172579,9,0,0,30,Denmark
53,187666,11,0,0,45,Denmark
95,204518,4,0,0,40,Denmark
69,150042,13,0,0,40,Denmark
35,98092,9,0,0,60,Denmark
77,245918,7,0,0,12,Denmark
76,146013,10,4064,0,40,Denmark
79,378322,7,0,0,40,Denmark
39,257295,10,0,0,75,Denmark
96,218956,10,0,0,24,Denmark
67,21174,9,0,0,40,Denmark
49,185480,13,0,0,45,Denmark
76,222205,9,0,0,40,Denmark
70,69867,9,0,0,40,Denmark
84,191260,5,1055,0,24,Denmark
41,30653,14,2407,0,98,Denmark
71,209109,14,0,0,35,Denmark
65,70377,9,0,0,40,Denmark
39,477983,9,0,0,40,Denmark
58,170924,10,7298,0,40,Denmark
91,190174,10,0,0,40,Denmark
90,193787,10,0,0,40,Denmark
90,279472,10,7298,0,48,Denmark
74,34918,13,0,0,15,Denmark
97,97688,10,5178,0,40,Denmark
95,175413,12,0,0,45,Denmark
48,173960,13,0,0,42,Denmark
44,205759,9,0,0,40,Denmark
95,425161,14,15024,0,40,Denmark
40,220531,15,0,0,60,Denmark
75,176609,10,0,0,45,Denmark
61,371987,13,0,0,40,Denmark
98,193884,4,0,0,40,Denmark
86,200352,13,0,0,45,Denmark
64,127595,9,0,0,40,Denmark
50,220419,13,0,0,56,Denmark
98,231931,10,0,0,45,Denmark
46,248402,13,0,0,40,Denmark
42,111095,9,0,0,16,Denmark
98,57424,13,0,0,60,Denmark
56,157443,14,3464,0,40,Denmark
86,278130,9,0,0,40,Denmark
45,169469,9,0,0,80,Denmark
93,146268,13,7688,0,40,Denmark
46,153718,10,0,0,25,Denmark
64,217460,9,0,0,45,Denmark
65,238638,9,4386,0,40,Denmark
45,303296,10,0,0,40,Denmark
91,173321,9,0,0,40,Denmark
57,193945,12,0,0,45,Denmark
40,83082,12,0,0,33,Denmark
41,193815,12,0,0,40,Denmark
78,34987,10,0,0,54,Denmark
36,59306,13,0,0,40,Denmark
47,142897,14,7298,0,35,Denmark
62,860348,10,0,0,25,Denmark
75,205607,13,0,0,40,Denmark
69,199698,10,0,0,15,Denmark
66,191954,10,0,0,40,Denmark
36,138714,10,0,0,40,Denmark
87,399087,3,0,0,40,Denmark
52,423158,10,0,0,40,Denmark
53,159841,9,0,0,24,Denmark
71,174308,9,0,0,40,Denmark
92,50356,10,0,1485,50,Denmark
84,186110,9,0,0,45,Denmark
80,200381,7,0,0,40,Denmark
83,174309,14,0,0,10,Denmark
63,78383,9,0,0,45,Denmark
40,211601,11,0,0,15,Denmark
84,187728,10,0,1887,50,Denmark
71,321171,9,0,0,40,Denmark
87,127921,9,2050,0,55,Denmark
88,206565,10,0,0,45,Denmark
87,224563,13,0,0,40,Denmark
83,178686,11,0,0,40,Denmark
96,98545,6,0,0,40,Denmark
97,242606,9,0,0,40,Denmark
49,270942,3,0,0,48,Denmark
49,94235,9,0,0,40,Denmark
84,71195,14,0,0,60,Denmark
81,104112,9,0,0,30,Denmark
43,261192,9,0,0,40,Denmark
71,94936,12,0,0,40,Denmark
55,296478,11,7298,0,40,Denmark
84,119272,9,7298,0,40,Denmark
72,85043,9,0,0,20,Denmark
87,293364,10,0,0,40,Denmark
85,241895,13,0,0,42,Denmark
78,36135,7,0,0,8,Denmark
40,151989,11,0,0,40,Denmark
44,101128,12,0,0,25,Denmark
75,156464,13,0,0,25,Denmark
92,117963,13,0,0,40,Denmark
65,192262,9,0,0,40,Denmark
44,111363,13,0,0,40,Denmark
64,329752,7,0,0,30,Denmark
61,372020,13,0,0,40,Denmark
43,95432,9,0,0,40,Denmark
87,161400,7,0,0,40,Denmark
62,96129,11,0,0,40,Denmark
99,111949,9,0,0,35,Denmark
94,117125,5,0,0,40,Denmark
75,348022,6,0,0,24,Denmark
71,270092,14,0,0,40,Denmark
69,180609,13,0,0,45,Denmark
68,174575,13,0,1564,45,Denmark
52,410439,9,0,0,55,Denmark
66,92262,9,0,0,40,Denmark
66,183081,10,0,0,45,Denmark
70,362589,12,0,0,15,Denmark
58,212448,13,0,0,45,Denmark
54,481060,9,0,0,40,Denmark
36,185885,10,0,0,15,Denmark
48,89821,7,0,0,10,Denmark
39,184018,11,0,0,38,Denmark
79,256649,9,0,0,40,Denmark
40,160323,9,0,0,40,Denmark
68,350845,10,0,0,10,Denmark
76,267404,9,0,0,40,Denmark
68,35633,10,0,0,40,Denmark
37,80914,14,0,0,30,Denmark
52,172927,9,0,0,50,Denmark
86,174319,9,0,0,40,Denmark
48,214955,3,0,2339,45,Denmark
41,344991,10,0,0,40,Denmark
78,108699,10,0,0,40,Denmark
89,117312,10,0,0,40,Denmark
61,396099,9,0,0,25,Denmark
88,134152,9,0,0,40,Denmark
54,162028,10,0,2415,6,Denmark
94,25429,10,0,0,16,Denmark
35,232392,9,0,0,40,Denmark
58,220098,9,0,0,40,Denmark
68,301302,13,0,0,50,Denmark
55,277946,12,0,0,40,Denmark
61,98101,13,7688,0,45,Denmark
57,196164,9,0,0,35,Denmark
98,115562,10,0,0,40,Denmark
37,96975,10,0,0,40,Denmark
67,137300,9,0,0,35,Denmark
91,86872,13,0,0,55,Denmark
72,132178,13,0,0,50,Denmark
43,416103,10,0,0,40,Denmark
35,108574,10,0,0,40,Denmark
61,288353,13,0,0,40,Denmark
88,227689,11,0,0,64,Denmark
92,166481,4,0,2179,40,Denmark
40,445382,14,0,1977,65,Denmark
73,110145,9,0,0,40,Denmark
87,317253,9,0,0,25,Denmark
36,123147,10,0,1887,40,Denmark
68,364657,10,0,0,50,Denmark
87,42346,10,0,0,24,Denmark
40,241951,9,0,0,40,Denmark
77,118500,10,0,0,40,Denmark
96,188386,16,15024,0,60,Denmark
99,1033222,10,0,0,40,Denmark
39,92440,8,0,0,50,Denmark
55,190762,2,0,0,40,Denmark
37,426017,7,0,0,19,Denmark
48,243867,7,0,0,40,Denmark
88,240283,9,0,0,40,Denmark
88,61777,10,0,0,30,Denmark
42,175024,7,2176,0,18,Denmark
36,92003,13,0,0,40,Denmark
36,188401,9,0,0,40,Denmark
71,228528,6,0,0,35,Denmark
56,133373,9,0,0,60,Denmark
53,255191,14,0,1408,40,Denmark
96,204653,9,0,0,72,Denmark
44,222289,9,0,0,40,Denmark
55,287480,14,0,0,40,Denmark
59,107762,9,0,0,24,Denmark
96,202521,7,0,0,40,Denmark
83,204116,13,2174,0,40,Denmark
45,29662,12,0,0,25,Denmark
46,116358,10,0,1980,40,Denmark
52,208405,14,0,0,50,Denmark
62,284843,9,594,0,60,Denmark
98,117018,10,0,0,40,Denmark
55,81281,10,0,0,40,Denmark
89,340148,10,0,0,40,Denmark
77,363425,13,0,0,40,Denmark
97,45857,9,0,0,28,Denmark
71,191073,9,0,0,40,Denmark
57,116632,10,0,0,40,Denmark
35,405855,5,0,0,40,Denmark
74,298227,10,0,0,35,Denmark
50,290521,9,0,0,40,Denmark
63,56915,9,0,0,40,Denmark
52,146538,9,0,0,40,Denmark
72,258872,7,0,0,5,Denmark
81,206399,9,0,0,40,Denmark
71,197332,10,0,0,55,Denmark
84,245062,9,0,0,40,Denmark
58,197583,12,0,0,40,Denmark
62,234885,9,0,0,40,Denmark
71,72887,11,0,0,40,Denmark
62,180374,9,0,0,40,Denmark
93,351299,10,0,0,50,Denmark
50,54012,9,0,0,60,Denmark
48,115745,10,0,0,40,Denmark
61,116632,12,0,0,40,Denmark
63,288825,9,0,0,40,Denmark
42,132601,13,0,0,50,Denmark
54,193374,2,0,0,40,Denmark
47,170070,13,0,0,20,Denmark
85,126708,9,0,0,60,Denmark
79,35598,9,0,0,40,Denmark
60,33983,10,0,0,40,Denmark
37,192776,14,0,1977,45,Denmark
73,118551,13,0,0,16,Denmark
52,201965,10,0,0,40,Denmark
71,139883,10,0,0,40,Denmark
61,285020,9,0,0,40,Denmark
55,303990,9,0,0,60,Denmark
71,49401,11,0,0,24,Denmark
56,279196,13,0,0,40,Denmark
82,211870,5,0,0,6,Denmark
48,281432,10,0,0,30,Denmark
66,161155,6,0,0,40,Denmark
79,197904,9,0,0,35,Denmark
56,111746,12,0,0,45,Denmark
42,170721,10,0,0,20,Denmark
92,70100,13,0,0,20,Denmark
98,193626,9,0,0,40,Denmark
45,271749,8,594,0,40,Denmark
35,189775,10,0,0,20,Denmark
42,401531,2,0,0,35,Denmark
89,286967,9,0,0,45,Denmark
92,164427,13,0,0,40,Denmark
55,91039,13,15024,0,60,Denmark
94,347934,9,0,0,35,Denmark
76,371373,9,0,0,40,Denmark
49,32220,12,0,0,60,Denmark
89,187251,9,0,0,25,Denmark
65,178107,13,0,0,20,Denmark
89,343121,9,0,0,36,Denmark
64,262749,10,0,0,40,Denmark
58,403107,3,0,0,40,Denmark
39,64293,10,0,0,35,Denmark
87,303588,9,0,0,20,Denmark
87,324960,9,0,0,40,Denmark
40,114060,9,0,0,40,Denmark
84,48925,10,0,0,40,Denmark
80,180980,10,0,0,42,Denmark
35,181054,13,0,0,40,Denmark
80,388093,13,0,0,40,Denmark
39,249609,10,0,0,8,Denmark
57,112131,10,0,0,40,Denmark
54,543162,9,0,0,40,Denmark
54,91996,9,0,0,40,Denmark
91,141944,11,0,1380,42,Denmark
51,251804,3,0,0,30,Denmark
41,37070,11,0,0,45,Denmark
62,337587,10,0,0,50,Denmark
47,189346,9,0,0,45,Denmark
91,222216,11,0,0,38,Denmark
88,267044,10,0,0,20,Denmark
43,214635,10,0,0,24,Denmark
43,204226,10,0,0,35,Denmark
36,108116,13,0,0,50,Denmark
41,99146,13,15024,0,80,Denmark
86,196232,9,7688,0,50,Denmark
35,248344,10,0,0,50,Denmark
54,186035,10,0,0,45,Denmark
62,177905,10,0,0,58,Denmark
54,85812,10,0,0,40,Denmark
63,221172,13,0,0,40,Denmark
82,99183,10,0,0,9,Denmark
96,190387,9,0,0,50,Denmark
68,202692,14,0,0,40,Denmark
97,109339,7,0,0,46,Denmark
53,108658,9,0,0,40,Denmark
38,197202,9,0,0,40,Denmark
86,101739,12,0,0,50,Denmark
95,231559,15,20051,0,48,Denmark
68,207853,8,0,0,50,Denmark
52,190942,2,0,0,30,Denmark
75,102345,11,0,0,40,Denmark
60,41493,13,0,0,45,Denmark
98,190027,9,0,0,40,Denmark
45,210525,10,0,0,40,Denmark
85,133937,16,0,0,40,Denmark
71,237903,10,0,0,40,Denmark
51,163862,9,0,0,40,Denmark
78,201872,10,0,0,50,Denmark
59,84179,9,0,0,45,Denmark
41,51662,6,0,0,8,Denmark
42,233327,10,0,0,40,Denmark
64,259510,9,0,0,36,Denmark
64,184831,10,0,0,40,Denmark
52,245724,10,0,0,50,Denmark
93,27053,9,0,0,40,Denmark
37,205343,7,0,0,40,Denmark
80,229328,9,0,0,40,Denmark
71,319560,11,0,0,40,Denmark
37,136218,7,0,0,40,Denmark
89,54576,9,0,0,40,Denmark
50,323069,9,0,0,20,Denmark
55,148291,9,0,0,32,Denmark
89,152453,7,0,0,40,Denmark
96,114053,13,0,0,55,Denmark
50,212960,13,0,0,35,Denmark
83,264052,10,0,0,50,Denmark
75,82804,9,0,0,40,Denmark
64,334273,13,0,0,60,Denmark
43,27337,9,0,0,48,Denmark
67,188436,14,5013,0,45,Denmark
81,433665,4,0,0,40,Denmark
61,110663,9,0,0,35,Denmark
75,87490,14,0,0,42,Denmark
93,354351,9,0,0,40,Denmark
40,95469,9,0,0,40,Denmark
87,242718,7,0,0,12,Denmark
72,22463,11,0,1977,40,Denmark
92,158156,16,0,0,70,Denmark
75,350162,13,0,0,40,Denmark
82,165532,8,0,0,25,Denmark
64,28738,12,0,0,35,Denmark
41,283635,13,0,0,40,Denmark
46,86646,10,0,0,45,Denmark
60,195733,10,0,0,30,Denmark
59,69884,9,0,0,40,Denmark
84,199713,9,0,0,40,Denmark
38,181659,9,0,0,40,Denmark
82,340939,13,0,0,40,Denmark
56,197747,10,0,0,24,Denmark
85,34292,10,0,0,60,Denmark
78,156764,7,0,0,40,Denmark
72,25826,6,0,1887,47,Denmark
39,103948,13,0,0,80,Denmark
83,137390,9,0,0,40,Denmark
53,105138,9,0,0,40,Denmark
75,39352,4,0,0,48,Denmark
60,168387,13,7688,0,40,Denmark
53,117789,13,0,0,40,Denmark
89,267147,9,0,0,40,Denmark
88,99399,10,0,0,25,Denmark
95,214242,15,0,1902,50,Denmark
46,200408,10,2174,0,40,Denmark
64,136455,13,0,0,45,Denmark
77,239824,13,0,0,40,Denmark
72,217039,10,0,0,28,Denmark
76,51290,4,0,0,40,Denmark
82,175674,5,0,0,40,Denmark
45,194404,12,0,0,40,Denmark
46,45612,9,0,0,37,Denmark
80,410114,14,0,0,40,Denmark
38,182521,9,0,0,40,Denmark
76,339772,9,0,0,40,Denmark
95,169658,6,0,0,21,Denmark
52,200853,14,6849,0,60,Denmark
61,247564,9,0,0,40,Denmark
84,249909,9,0,0,50,Denmark
78,208122,13,1055,0,40,Denmark
90,109881,13,0,0,20,Denmark
72,207824,9,0,0,60,Denmark
64,369027,9,0,0,45,Denmark
57,114117,9,0,0,32,Denmark
94,51048,13,0,0,55,Denmark
80,102388,15,15024,0,45,Denmark
98,190483,13,0,0,20,Denmark
58,462440,7,0,0,20,Denmark
73,109351,5,0,0,24,Denmark
48,34383,11,0,0,55,Denmark
97,241832,5,0,0,40,Denmark
60,124187,9,0,0,60,Denmark
73,153614,9,0,0,45,Denmark
78,267556,9,0,0,64,Denmark
47,205469,10,0,0,40,Denmark
45,268090,13,0,0,26,Denmark
82,165039,10,0,0,40,Denmark
98,120451,6,0,0,40,Denmark
64,154374,10,15024,0,60,Denmark
49,103649,13,0,0,40,Denmark
68,35723,9,0,0,60,Denmark
35,262601,9,0,0,14,Denmark
83,226181,13,0,0,40,Denmark
54,175697,13,15024,0,60,Denmark
37,248145,3,0,0,50,Denmark
35,289436,16,0,0,60,Denmark
87,75654,9,0,0,55,Denmark
35,199378,9,0,0,40,Denmark
75,160968,10,0,0,40,Denmark
40,188563,10,5178,0,50,Denmark
95,55849,10,0,0,45,Denmark
86,195322,16,0,0,40,Denmark
89,402089,9,0,0,40,Denmark
51,78277,9,0,0,15,Denmark
80,158611,9,0,0,50,Denmark
69,169496,13,0,0,40,Denmark
62,130959,10,0,0,20,Denmark
83,556660,9,4101,0,50,Denmark
60,292472,16,0,0,40,Denmark
73,143774,10,0,0,45,Denmark
71,288341,9,0,0,32,Denmark
62,71592,10,0,0,40,Denmark
76,167358,5,1111,0,15,Denmark
67,106742,9,0,0,45,Denmark
46,219288,4,0,0,35,Denmark
49,174524,9,0,0,40,Denmark
44,335183,8,0,0,40,Denmark
86,261293,14,0,0,60,Denmark
35,111900,10,0,0,40,Denmark
65,194360,14,0,0,38,Denmark
91,81145,10,0,0,25,Denmark
62,341204,12,8614,0,40,Denmark
36,249362,10,3411,0,40,Denmark
70,247019,9,0,0,40,Denmark
73,114746,7,0,1762,40,Denmark
43,172146,5,0,1721,40,Denmark
49,110457,10,0,0,40,Denmark
85,80077,7,0,0,20,Denmark
58,368700,7,0,0,10,Denmark
43,182556,13,0,0,40,Denmark
80,219420,9,0,0,50,Denmark
52,240817,9,2597,0,40,Denmark
99,102726,8,0,0,16,Denmark
50,226267,10,0,0,40,Denmark
94,125457,9,0,0,45,Denmark
82,204021,9,0,0,50,Denmark
77,92262,9,0,0,48,Denmark
56,161141,11,0,0,40,Denmark
43,190290,9,0,0,40,Denmark
46,430828,10,0,0,40,Denmark
66,59342,7,0,0,5,Denmark
93,136721,9,0,0,40,Denmark
95,149422,4,0,0,4,Denmark
42,86644,13,0,0,55,Denmark
38,195124,14,0,0,35,Denmark
61,167350,9,0,0,30,Denmark
73,113000,10,0,0,40,Denmark
90,140027,10,0,0,45,Denmark
64,262425,10,0,0,50,Denmark
46,316702,10,0,0,20,Denmark
46,335453,13,0,0,20,Denmark
39,202480,12,0,0,45,Denmark
61,203628,14,0,0,60,Denmark
62,118710,14,0,1902,40,Denmark
56,189620,13,0,0,40,Denmark
35,475028,9,0,0,20,Denmark
67,110866,13,0,0,50,Denmark
55,243605,13,0,1380,40,Denmark
88,163870,10,0,0,30,Denmark
96,80145,10,0,0,40,Denmark
82,295566,16,25236,0,65,Denmark
81,63042,13,0,0,50,Denmark
44,229148,8,0,0,40,Denmark
47,242552,10,0,0,40,Denmark
67,177665,9,0,0,35,Denmark
62,208103,7,0,0,25,Denmark
84,296450,13,0,0,40,Denmark
42,70282,10,0,0,40,Denmark
98,271767,13,0,0,40,Denmark
92,144995,11,4386,0,40,Denmark
78,382635,13,0,0,35,Denmark
68,295697,9,0,0,40,Denmark
43,194141,9,0,0,40,Denmark
77,378418,9,0,0,40,Denmark
81,214399,10,0,0,15,Denmark
94,217460,13,0,0,45,Denmark
47,182556,9,0,0,40,Denmark
86,125831,9,0,2051,60,Denmark
80,271328,13,4650,0,40,Denmark
83,50459,9,0,0,42,Denmark
70,162140,13,7298,0,45,Denmark
93,177937,13,0,0,40,Denmark
42,111502,9,0,0,40,Denmark
62,299047,10,0,0,20,Denmark
76,223212,9,0,0,40,Denmark
40,118474,7,9386,0,59,Denmark
56,352139,10,0,0,24,Denmark
61,173093,10,0,0,40,Denmark
93,181655,11,0,2377,45,Denmark
61,332702,11,0,0,15,Denmark
45,51164,10,0,0,40,Denmark
41,234901,10,2407,0,40,Denmark
96,131414,10,0,0,36,Denmark
52,260960,13,0,0,50,Denmark
94,156052,9,594,0,20,Denmark
64,279914,13,0,0,40,Denmark
37,192453,10,0,0,25,Denmark
45,200939,9,0,0,72,Denmark
35,151408,14,14084,0,50,Denmark
95,112847,11,0,0,40,Denmark
68,316929,8,0,0,20,Denmark
74,126319,13,0,0,40,Denmark
37,197422,9,7688,0,40,Denmark
65,267736,10,0,0,40,Denmark
68,267034,7,0,0,40,Denmark
40,193047,13,0,0,37,Denmark
95,356089,13,7688,0,40,Denmark
39,223515,13,0,0,20,Denmark
49,87510,6,0,0,40,Denmark
94,145111,9,0,0,50,Denmark
90,48093,9,0,0,40,Denmark
84,31757,11,0,0,38,Denmark
54,285854,9,0,0,40,Denmark
76,120064,13,0,0,45,Denmark
58,167381,9,0,0,40,Denmark
59,103408,9,0,0,40,Denmark
57,101460,9,0,0,18,Denmark
54,420537,9,0,0,38,Denmark
52,119411,9,0,0,40,Denmark
38,128272,16,0,0,70,Denmark
79,386773,13,0,0,55,Denmark
79,283268,6,0,0,42,Denmark
70,301526,10,0,0,40,Denmark
41,151790,10,0,0,30,Denmark
